Age,Height,Performance,Decision
19,172,58,0
21,159,87,0
24,193,48,0
29,199,98,1
20,177,74,1
19,200,19,0
25,170,60,0
25,167,89,1
22,185,16,0
28,152,16,0
24,190,30,1
30,160,40,0
18,191,48,0
20,196,6,0
23,150,27,1
24,173,63,1
20,183,95,1
27,178,91,1
24,160,92,1
22,176,28,1
28,168,77,0
28,161,60,0
26,161,44,1
21,181,1,0
30,151,95,1
25,162,20,0
24,195,35,1
21,182,14,0
19,161,84,0
26,181,84,1
19,193,14,0
20,177,50,0
22,176,92,1
21,166,14,0
28,166,34,0
29,194,90,1
27,197,35,0
27,177,63,1
19,190,81,1
23,164,26,1
28,179,18,0
20,193,29,1
19,190,39,1
30,158,17,0
24,159,68,1
19,169,12,0
27,169,68,1
22,158,93,1
20,180,82,1
24,183,79,0
22,155,73,1
27,195,14,0
25,173,48,1
22,194,59,1
22,177,83,1
21,174,77,0
23,190,8,0
22,152,82,0
28,174,89,1
30,165,17,0
26,156,99,1
28,168,39,0
19,153,17,0
26,179,10,0
24,189,23,1
23,164,10,0
29,161,85,1
18,174,91,1
25,181,55,1
23,157,88,0
28,152,87,1
30,166,42,1
24,198,7,0
19,178,30,1
30,168,16,0
30,195,84,1
23,175,78,1
29,175,68,0
19,176,28,1
29,189,70,0
25,200,1,0
30,163,13,0
26,155,99,1
28,170,39,0
23,178,14,0
20,174,32,1
22,168,77,1
26,199,51,1
30,171,40,0
19,180,56,1
18,188,81,1
25,187,13,0
20,190,5,0
21,166,57,1
18,186,18,0
25,168,76,1
30,162,10,0
27,200,27,0
30,150,45,0
20,179,16,0
25,152,87,1
25,162,13,0
25,187,15,0
28,174,57,0
21,174,66,0
25,150,75,0
27,156,66,0
28,162,85,0
22,173,84,0
28,165,48,0
21,198,15,0
20,178,86,1
29,200,16,0
29,161,20,0
30,164,55,1
23,173,96,1
26,191,46,1
22,182,19,0
30,196,3,0
27,154,89,0
21,170,53,1
22,152,92,1
28,157,73,1
29,154,60,1
26,172,3,0
22,167,46,0
20,151,7,0
24,156,72,1
24,176,12,0
27,197,34,0
24,180,71,1
25,181,5,0
22,179,4,0
18,173,10,0
26,196,1,0
30,200,69,1
29,172,33,0
27,197,79,0
22,157,18,0
24,154,83,0
23,194,22,1
30,196,62,0
22,184,3,0
26,156,35,0
22,186,50,1
20,169,36,0
25,188,52,0
19,193,15,0
30,198,44,0
21,183,90,1
21,195,88,1
26,159,58,1
19,194,95,1
23,159,94,1
24,167,6,0
18,191,34,1
20,158,75,1
24,199,78,0
19,159,78,1
19,170,20,1
19,199,64,1
21,170,27,0
25,178,93,1
29,192,57,0
29,177,34,0
30,154,6,0
21,184,38,0
25,181,33,0
29,194,17,0
28,158,87,1
23,170,69,1
22,162,52,0
29,182,80,0
22,191,97,1
25,174,55,1
25,197,98,1
25,191,94,1
28,197,21,0
19,189,57,1
30,179,82,1
21,160,92,1
27,200,11,0
29,198,67,0
27,175,77,1
29,156,85,0
25,191,22,1
25,170,68,1
21,192,38,0
28,181,59,0
24,157,8,0
23,184,90,1
26,152,25,0
20,166,58,1
22,151,100,1
29,159,16,0
18,153,17,0
26,184,94,1
24,197,15,0
19,184,55,1
30,158,13,0
20,151,32,0
27,150,1,0
26,175,89,1
26,171,15,0
24,189,4,0
27,174,50,1
18,186,100,1
22,165,89,1
29,185,38,0
25,198,30,1
27,156,16,0
26,151,44,0
23,185,6,0
30,192,22,0
30,154,60,1
25,199,47,0
23,194,48,0
25,193,69,1
29,153,10,0
19,179,55,1
27,167,1,0
25,189,10,0
22,194,54,1
29,179,65,1
18,153,94,1
21,191,43,1
18,196,40,0
29,189,2,0
21,195,70,1
25,177,77,1
29,182,91,1
24,169,23,1
20,165,91,1
19,183,7,0
29,177,56,0
26,152,85,1
22,189,82,1
25,172,40,1
18,166,37,0
21,152,70,1
25,169,67,1
20,200,21,1
23,163,38,0
27,179,40,1
18,162,19,0
27,167,61,1
26,167,84,1
20,188,83,1
28,182,84,0
25,171,93,1
26,193,17,0
19,180,37,1
28,196,50,1
27,157,4,0
22,189,65,1
24,151,46,1
29,155,31,0
19,184,32,1
18,160,66,1
26,195,74,0
29,153,70,0
18,198,81,1
26,179,53,1
24,156,19,0
23,154,41,0
30,161,20,0
25,184,41,0
24,180,51,1
24,182,25,1
29,200,55,0
21,156,58,0
27,156,68,0
28,153,76,0
22,156,66,0
19,187,75,1
24,163,61,0
19,181,2,0
24,173,1,0
21,159,59,0
18,170,47,1
27,175,21,0
30,181,69,0
30,185,18,0
18,180,71,1
25,165,29,1
26,160,52,0
29,163,10,0
18,200,9,0
22,174,16,0
18,162,75,1
26,190,33,0
20,175,4,0
18,155,8,0
25,152,15,0
20,176,44,1
30,177,56,0
22,161,39,0
26,162,73,1
29,154,97,1
19,179,35,0
28,200,95,1
20,171,32,1
26,196,77,1
25,199,76,1
20,188,20,1
26,154,37,0
24,184,96,1
30,156,77,0
20,195,30,0
30,172,96,1
30,171,59,0
24,192,73,1
29,185,30,0
19,177,36,1
23,160,99,1
25,183,71,1
24,174,43,0
30,164,80,1
28,170,26,0
22,180,80,1
19,197,8,0
20,166,39,1
23,151,94,1
20,157,1,0
27,186,52,1
25,168,83,0
24,194,15,0
22,175,21,0
19,198,29,0
25,172,10,0
30,171,14,0
26,192,43,0
18,172,2,0
23,174,62,0
19,167,31,0
23,179,49,0
30,182,23,0
30,155,71,0
21,167,98,1
27,191,96,1
26,162,74,1
28,176,15,0
27,192,98,1
25,200,77,0
24,158,47,0
29,174,4,0
23,174,93,1
30,163,34,0
20,164,51,0
22,174,67,0
26,170,62,1
19,152,40,1
28,196,56,1
24,159,47,0
27,164,34,0
23,200,55,0
27,190,91,1
29,187,73,1
21,151,17,0
20,168,91,1
29,153,53,1
20,194,78,1
19,156,48,0
22,193,78,1
23,194,68,0
27,183,84,0
18,199,48,0
23,150,2,0
28,164,52,0
25,171,95,1
27,196,38,0
20,179,2,0
23,159,86,1
27,184,29,0
30,169,22,0
26,182,35,0
25,171,39,1
22,168,20,0
20,182,49,0
28,159,42,0
21,158,24,1
19,156,39,0
24,192,82,0
29,175,55,0
20,172,46,1
25,188,50,1
29,168,95,1
30,183,37,0
23,182,51,1
28,195,3,0
26,189,80,1
23,150,30,0
19,184,51,1
19,198,96,1
21,192,53,0
21,176,69,1
29,180,1,0
25,182,29,1
27,174,73,1
22,192,4,0
18,153,2,0
21,171,28,0
24,177,11,0
19,174,67,0
22,196,99,1
22,171,49,1
29,175,69,0
26,198,46,0
19,199,82,1
28,179,43,1
18,160,58,0
24,172,15,0
18,194,34,1
23,153,36,1
28,177,66,1
22,196,21,1
21,166,28,1
18,183,91,1
26,160,51,0
23,177,88,1
22,198,74,1
21,167,46,1
23,168,21,1
28,153,54,0
24,191,58,1
27,150,76,0
28,190,49,1
29,179,93,1
26,187,35,0
30,150,42,1
26,176,72,0
25,172,21,1
29,155,92,1
20,165,61,0
21,166,97,1
30,200,24,0
30,186,97,1
26,188,26,0
20,187,14,0
28,169,85,0
27,168,54,1
24,171,88,1
24,159,91,1
28,154,6,0
27,177,47,1
21,169,84,1
26,174,57,1
23,150,77,0
23,169,78,0
27,184,75,1
22,198,99,1
30,173,97,1
27,159,19,0
28,180,65,1
28,184,69,0
27,179,81,1
26,181,27,0
21,169,15,0
19,186,6,0
18,155,47,0
30,150,9,0
21,152,67,0
24,186,94,1
28,180,77,0
20,168,33,0
19,199,65,1
19,173,46,1
30,181,59,0
24,198,4,0
28,197,96,1
26,195,20,0
30,177,61,0
20,168,78,1
25,188,91,1
19,196,97,1
24,169,79,1
30,155,35,0
20,193,28,0
24,165,47,0
23,182,88,1
29,172,74,1
28,193,17,0
29,191,28,0
19,160,66,0
30,169,78,0
29,194,6,0
18,154,61,1
27,170,64,0
30,179,95,1
30,170,33,0
25,191,10,0
30,194,76,0
30,185,38,0
28,167,81,0
28,161,18,0
21,162,92,1
20,191,61,0
24,167,12,0
26,160,24,0
23,182,54,1
20,185,33,1
23,160,91,1
22,175,42,1
22,187,68,1
20,183,41,1
22,164,48,0
22,198,21,0
29,185,33,0
29,156,40,0
21,168,32,1
30,164,7,0
30,200,98,1
25,152,77,1
24,152,43,0
20,187,7,0
19,177,60,0
26,179,13,0
25,151,30,1
21,183,41,0
19,179,59,0
19,190,92,1
29,175,67,0
27,168,17,0
22,192,56,0
23,178,68,1
21,188,27,1
24,196,24,0
21,177,33,0
28,198,70,0
25,183,6,0
20,192,52,0
19,158,5,0
22,187,19,0
25,194,7,0
28,178,86,1
21,183,97,1
27,189,50,0
27,156,63,0
28,190,39,0
20,161,32,0
24,185,56,1
24,157,2,0
25,191,56,1
30,200,80,0
24,192,61,1
24,180,76,0
23,152,61,0
27,178,27,0
20,196,98,1
19,176,73,1
20,165,17,0
24,169,59,0
26,193,66,1
27,180,9,0
28,198,7,0
29,174,18,0
24,187,35,0
29,166,75,1
21,175,37,0
27,175,85,1
23,154,56,0
28,161,91,1
21,165,94,1
22,199,30,1
25,168,99,1
29,188,89,0
28,167,38,0
23,181,19,0
25,198,45,1
25,196,15,0
21,188,58,1
29,172,89,0
28,176,55,0
27,200,14,0
18,194,75,1
21,195,28,1
21,196,44,0
27,174,54,1
23,152,65,1
30,187,85,1
25,186,37,1
18,185,55,1
21,191,30,1
28,183,31,0
25,194,46,1
20,169,69,0
25,197,36,0
30,164,26,0
29,184,83,0
27,178,14,0
22,175,82,1
22,197,95,1
23,197,84,1
27,160,22,0
27,189,13,0
22,186,24,0
26,176,59,1
30,198,72,0
19,167,90,1
24,189,79,1
20,150,83,0
18,159,95,1
22,165,57,1
29,172,45,0
20,174,98,1
28,158,16,0
25,164,41,1
24,171,26,0
27,173,30,0
26,193,77,1
29,184,72,0
24,198,25,1
23,150,79,1
29,199,13,0
26,184,33,0
20,171,82,1
22,176,78,1
30,165,89,1
18,182,31,0
18,152,70,1
30,168,17,0
30,175,98,1
19,155,32,0
21,164,85,1
23,174,35,1
19,166,66,0
24,173,67,0
28,190,95,1
30,189,83,1
21,200,80,1
30,164,36,0
23,152,90,0
19,183,90,1
30,167,21,0
21,191,75,1
26,180,11,0
23,178,37,0
19,174,51,1
27,154,57,0
21,195,37,1
20,175,89,1
29,161,94,1
19,153,39,1
19,163,67,0
30,175,65,1
22,195,46,1
20,181,47,0
18,187,1,0
24,178,17,0
25,176,33,0
25,176,42,0
19,178,78,1
20,186,87,1
26,171,22,0
27,177,70,1
28,182,97,1
27,173,90,1
23,166,41,0
25,180,10,0
29,167,40,0
23,163,56,0
22,152,83,0
29,194,97,1
25,163,23,1
30,197,53,1
23,167,77,1
20,179,71,1
30,189,11,0
26,152,93,1
25,159,67,1
24,165,27,1
22,188,77,1
21,150,27,1
25,187,64,1
25,197,24,1
24,162,77,1
30,165,79,1
25,180,65,1
30,174,21,0
29,156,70,0
29,166,49,1
27,185,59,0
29,188,22,0
30,160,15,0
24,175,32,1
27,151,83,0
27,194,4,0
19,180,43,1
23,185,53,0
26,189,94,1
25,182,3,0
22,200,46,0
29,177,7,0
30,199,44,0
20,182,60,1
24,150,16,0
26,185,28,0
25,199,47,1
24,167,99,1
27,181,57,1
27,197,35,0
24,168,100,1
29,194,71,0
23,173,61,0
19,177,77,1
30,200,78,1
18,154,18,0
26,195,96,1
25,190,51,1
29,178,22,0
25,156,78,1
18,176,76,1
30,189,21,0
28,172,13,0
30,187,83,1
26,166,7,0
29,151,13,0
24,176,1,0
19,192,92,1
26,166,87,1
28,171,38,0
28,153,3,0
26,174,12,0
26,198,53,1
21,197,11,0
18,157,50,0
27,151,100,1
19,199,53,0
26,162,7,0
30,152,28,0
21,182,14,0
28,185,69,0
20,189,1,0
23,184,97,1
23,200,82,1
20,172,57,0
26,154,51,1
24,192,70,1
28,188,68,1
23,153,39,1
28,192,14,0
25,155,32,0
29,196,62,0
26,152,50,1
28,159,10,0
18,161,5,0
26,195,34,0
28,172,73,0
18,187,84,1
29,162,44,0
20,184,95,1
23,171,74,1
24,170,30,0
26,197,55,0
25,165,99,1
29,188,83,0
28,156,72,1
23,193,64,0
27,160,76,0
28,150,45,0
19,185,14,0
24,174,86,1
18,164,72,0
26,176,52,1
22,181,27,0
20,169,38,1
29,187,15,0
24,163,29,0
25,159,81,0
18,181,59,1
26,152,16,0
22,167,37,1
25,200,8,0
22,178,25,1
24,180,92,1
26,194,97,1
23,180,70,0
21,153,17,0
20,176,5,0
29,181,12,0
21,195,31,1
20,166,83,0
20,181,22,1
18,161,98,1
25,200,18,0
22,158,1,0
23,176,76,1
28,195,2,0
19,200,35,1
30,167,5,0
22,157,54,0
25,167,65,1
18,168,47,0
24,188,63,0
25,199,25,0
30,197,61,1
23,160,39,1
23,154,33,0
20,166,51,0
29,169,3,0
25,198,82,1
18,170,67,1
25,161,21,0
20,160,21,1
28,174,54,0
23,160,88,1
29,187,84,0
30,151,67,1
24,169,20,1
21,191,20,0
25,190,53,1
30,159,40,0
27,154,52,0
20,160,19,0
22,155,62,1
22,151,69,0
20,175,60,1
28,194,30,0
23,167,34,0
29,183,31,0
28,160,98,1
26,188,71,0
22,167,40,1
24,184,98,1
22,154,73,1
20,180,79,1
30,160,69,1
22,169,86,0
20,161,80,0
30,196,2,0
21,150,38,0
19,166,65,1
19,186,39,0
24,150,20,1
26,186,40,0
29,156,5,0
19,188,10,0
22,155,29,0
21,179,53,1
19,151,76,0
26,157,52,0
26,158,57,1
29,157,15,0
21,169,15,0
28,197,34,0
18,188,64,1
26,178,54,0
18,197,72,1
26,165,70,1
28,197,38,0
19,184,42,0
23,171,30,1
26,184,41,0
26,159,5,0
21,187,45,1
24,174,68,0
25,176,80,1
21,170,13,0
26,181,71,1
28,165,18,0
28,169,43,1
25,152,7,0
25,176,21,0
19,163,72,1
21,177,61,0
30,189,2,0
26,200,74,0
23,155,10,0
26,171,67,0
27,154,20,0
26,181,63,0
21,187,50,0
30,191,9,0
21,171,72,0
22,176,43,1
29,195,54,0
24,173,66,0
18,174,71,1
21,155,72,0
18,194,20,1
28,171,57,0
27,177,58,0
21,191,10,0
20,163,74,1
26,161,86,0
27,195,91,1
27,160,83,0
26,188,72,0
23,156,89,1
21,170,88,0
21,182,23,1
23,163,29,1
23,171,14,0
24,151,72,1
19,185,70,0
27,159,78,0
25,176,27,1
27,188,49,0
20,195,69,1
22,187,73,1
27,178,90,1
19,176,9,0
22,168,89,0
23,159,91,1
24,178,69,0
30,177,8,0
28,168,23,0
18,180,61,1
30,166,31,0
29,179,30,0
26,176,58,0
26,186,72,0
22,162,57,0
28,150,76,1
25,165,19,0
18,196,6,0
29,164,33,0
19,154,90,1
26,191,77,1
29,176,2,0
28,162,67,0
19,190,69,0
23,198,11,0
21,170,51,0
28,168,91,1
23,166,57,1
25,178,100,1
23,183,79,1
30,192,34,0
22,187,13,0
18,161,29,1
19,156,64,0
24,162,72,0
30,168,84,1
28,164,69,1
30,183,23,0
28,172,78,0
21,185,64,0
29,150,83,0
20,150,73,1
24,188,97,1
19,172,81,0
18,191,93,1
19,196,36,0
30,174,88,1
20,157,31,1
26,172,56,1
25,156,76,0
25,172,71,1
24,183,6,0
29,173,26,0
27,181,54,0
27,191,13,0
20,192,85,1
28,167,71,0
18,152,39,1
22,170,95,1
27,182,91,1
30,157,70,1
22,198,65,0
24,187,23,1
25,172,50,0
27,182,75,1
26,184,70,0
30,152,8,0
25,190,28,1
21,170,58,1
30,187,62,0
30,163,49,0
28,197,13,0
25,196,20,1
27,153,90,1
26,157,22,0
29,170,74,0
30,161,54,1
26,199,23,0
26,186,75,0
26,194,69,0
27,174,85,0
20,154,21,1
28,199,51,1
26,184,40,0
21,188,64,1
22,153,94,1
19,172,43,0
26,152,18,0
27,160,6,0
23,179,67,0
30,194,49,0
21,160,76,0
22,173,32,0
30,193,57,0
25,151,36,0
23,159,25,1
22,175,47,1
30,196,8,0
20,166,9,0
27,165,27,0
28,167,29,0
21,162,12,0
22,188,73,1
28,158,32,0
26,195,84,1
25,161,88,0
28,180,15,0
21,195,14,0
24,167,25,1
25,165,69,0
26,198,63,1
27,157,70,1
20,165,84,0
27,151,7,0
30,182,71,0
24,170,29,1
26,167,89,1
22,185,92,1
30,152,43,1
22,177,15,0
20,172,21,1
27,151,98,1
23,160,30,0
26,190,82,0
29,200,89,1
19,192,50,0
25,197,9,0
19,167,6,0
21,177,92,1
20,152,14,0
19,186,4,0
30,178,28,0
24,160,47,0
27,177,87,1
18,175,73,1
25,181,5,0
26,173,83,1
28,154,29,0
20,187,39,1
30,157,99,1
25,159,73,1
29,168,49,1
19,200,39,1
18,157,79,1
23,189,43,0
29,166,90,1
27,184,38,0
29,157,1,0
26,182,92,1
22,170,66,1
27,170,31,0
20,171,38,1
24,177,19,0
21,190,24,0
22,189,36,0
23,188,98,1
19,150,100,1
22,153,48,1
23,151,83,0
23,181,63,1
27,152,24,0
18,191,99,1
20,197,39,0
21,186,92,1
26,162,3,0
27,159,64,1
23,184,6,0
21,162,65,0
21,158,72,0
23,181,46,0
26,184,9,0
26,165,25,0
28,165,53,0
30,179,36,0
21,150,12,0
30,195,60,0
28,194,72,1
20,173,32,1
28,192,5,0
30,192,81,0
25,185,84,0
30,181,76,0
27,180,66,0
23,186,41,0
27,199,9,0
26,173,85,1
24,188,62,0
27,150,22,0
30,169,76,1
30,197,30,0
27,174,62,1
29,167,25,0
27,198,70,0
25,167,49,0
26,182,45,0
20,161,90,1
20,177,61,0
30,154,23,0
24,175,75,0
26,165,25,0
26,172,22,0
25,165,76,0
25,167,78,0
18,166,59,1
19,156,87,0
22,195,47,1
24,182,79,1
19,160,52,1
27,189,99,1
21,177,5,0
21,164,38,0
26,184,84,0
20,181,4,0
22,164,48,1
27,166,44,1
24,181,15,0
29,175,79,0
25,198,100,1
24,167,98,1
19,162,14,0
30,174,68,1
24,164,75,0
30,191,26,0
24,160,57,0
18,182,39,1
24,187,71,0
24,163,6,0
19,150,97,1
23,188,75,1
22,152,14,0
21,199,63,0
24,183,1,0
20,185,43,1
19,178,4,0
27,153,56,1
25,194,55,0
26,188,63,1
18,179,71,1
25,160,50,1
18,165,6,0
21,176,14,0
30,160,31,0
21,154,88,0
22,176,10,0
28,200,50,0
23,196,41,0
28,185,83,0
26,168,77,0
30,165,23,0
29,186,9,0
24,194,70,0
19,170,93,1
24,194,47,0
22,179,59,0
23,196,46,1
21,155,47,0
22,155,9,0
18,174,32,1
25,184,31,0
21,165,66,0
22,174,13,0
30,168,95,1
30,189,67,0
28,193,71,1
23,150,92,1
23,194,68,0
26,185,3,0
20,182,76,1
29,159,38,0
22,171,82,1
18,170,91,1
24,159,8,0
30,171,52,1
29,197,89,1
23,184,91,1
20,154,99,1
28,167,77,1
30,160,73,1
21,175,99,1
29,155,9,0
21,177,85,1
29,173,82,1
20,185,66,1
24,158,10,0
23,197,86,1
26,157,11,0
23,198,33,1
28,190,100,1
22,182,1,0
20,195,33,0
26,180,13,0
24,181,61,0
20,159,59,1
24,198,60,0
18,170,81,1
25,195,84,0
25,164,34,1
25,181,13,0
21,174,89,0
19,173,19,0
22,190,22,1
19,188,6,0
22,168,97,1
28,153,24,0
18,187,20,0
25,186,38,0
29,161,19,0
23,195,7,0
20,198,93,1
21,166,92,1
22,169,57,0
22,168,72,0
30,152,7,0
28,150,96,1
21,188,95,1
23,193,77,1
23,161,14,0
30,159,56,0
27,175,42,0
19,151,39,0
26,183,35,0
26,176,98,1
19,175,41,0
24,189,35,1
20,198,3,0
30,163,95,1
24,170,73,0
24,181,42,1
24,171,65,1
18,169,90,0
20,198,54,0
24,167,37,1
26,182,53,1
30,163,60,1
28,174,48,0
26,177,95,1
24,185,94,1
30,166,42,1
20,168,23,1
20,183,10,0
19,189,9,0
20,164,33,1
22,167,53,1
23,181,98,1
20,193,9,0
24,166,69,1
25,200,88,0
26,171,51,0
18,174,73,1
21,182,79,1
22,164,26,1
29,173,80,0
20,150,62,1
19,170,60,1
21,174,11,0
20,196,39,0
20,183,58,0
27,169,27,0
18,168,55,1
28,187,51,0
21,152,1,0
22,191,64,0
30,153,66,0
25,175,62,1
30,174,78,1
26,197,87,1
29,193,21,0
22,187,16,0
23,174,73,1
28,185,29,0
30,193,96,1
28,191,96,1
19,172,54,1
29,165,89,1
25,185,35,1
21,160,28,0
25,163,81,0
26,183,4,0
23,179,39,0
22,172,39,1
25,157,28,0
29,153,83,0
30,167,55,0
30,191,61,1
26,191,13,0
28,155,39,0
25,164,4,0
18,152,53,0
29,176,61,0
20,200,72,1
28,166,72,0
23,168,10,0
19,182,23,1
30,192,94,1
24,177,14,0
30,152,44,0
26,169,99,1
28,173,88,1
18,177,69,0
26,151,52,0
29,176,34,0
25,185,89,1
30,155,98,1
29,163,60,0
27,180,81,0
26,175,77,0
29,175,72,1
18,153,75,1
23,181,88,1
24,187,74,0
22,192,38,1
28,172,15,0
20,186,60,1
26,160,49,0
22,164,85,1
24,178,10,0
23,182,98,1
22,154,42,0
27,181,68,0
19,189,74,1
28,199,93,1
27,189,80,0
22,188,55,0
25,181,85,1
19,179,20,1
27,183,77,1
29,159,9,0
25,169,63,0
22,163,10,0
24,197,75,0
21,161,69,1
27,180,60,0
22,181,22,1
22,166,100,1
26,151,14,0
27,192,15,0
18,195,47,1
18,182,3,0
19,179,53,1
19,165,23,0
19,194,56,1
29,196,31,0
29,171,93,1
27,188,53,0
21,176,82,1
29,183,18,0
29,152,17,0
18,152,33,1
25,160,84,0
28,196,29,0
28,165,24,0
29,200,68,0
28,158,11,0
27,194,2,0
28,180,13,0
23,192,4,0
20,182,78,1
19,194,53,0
28,199,51,0
26,152,44,0
18,160,2,0
21,175,23,0
25,169,31,1
18,176,53,0
30,172,89,1
23,191,85,1
28,169,97,1
28,174,87,0
22,186,58,0
21,160,44,0
18,189,35,0
22,188,38,1
23,165,68,1
27,174,98,1
26,154,26,0
28,196,41,0
24,198,93,1
20,150,75,1
23,160,91,1
29,167,97,1
30,168,29,0
23,186,87,1
24,177,14,0
